comment,cleaned_comment,predicted_sentiment
"Mntap, Gibran yg di bilang hanya planga plongo akhirnya kluar unjuk gigi saya percaya orng yg ga banyak omong kejujurannya sangat saya percayai ( ngomonglah saat diperlukan )",bilang hanya planga plongo akhir kluar unjuk gigi saya percaya orng banyak omong jujur sangat saya percaya ngomonglah saat perlu,negative
"Amin, mau bagikan uang ke tiap desa 5milyar, uang dari mana, itu cuma jdi ribut karena yang tersebut, yg dapat orang tertentu sja.",mau bagi uang tiap desa milyar uang dari mana itu cuma jdi ribut karena yang sebut dapat orang tentu sja,negative
Satu putaran kayaknya semakin masuk akal,putar kayak makin masuk akal,negative
Saya orang pontianak tetap pg prabowo gibran ❤,orang pontianak tetap prabowo gibran,negative
Lihat lah sikap anis ke bp prabowo dingin kaya iri😂😂😂😂😂😂😂,lah sikap anis prabowo dingin kaya iri,negative
"Dulu di 2019 saya punya harapan betapa hebatnya jika pak prabowo dan pak jokowi jadi capres dan cawapres
Tenyata impian saya terwujud di 2024, pak prabowo menggandeng mas gibran",saya punya harap betapa hebat jika pak prabowo dan pak jokowi jadi capres dan cawapres impi saya wujud pak prabowo gandeng mas gibran,negative
Apa cmn aku yg terharu sm penutupan paslon no 2,cmn aku haru tutup paslon,negative
Kan saya bilang di lihat dari Paslon no 1 kelihatan kerja nya belum nyata.. sebut saja Anies ketika menjabat Kemendikbud? Beliau Pandai berbicara tapi kerja nya ga ada. Saya pernah ada di Kemendikbud sana ketika beliau menjadi menteri Kemendikbud..hati2 cari pemimpin.,saya bilang lihat dari lihat kerja nya belum nyata sebut saja ketika jabat bicara tapi kerja nya ada pernah ada sana ketika beliau jadi menteri hati cari pimpin,negative
Klo ngomong mh gampang,ngomong gampang,negative
si anis sm imin cocok'y jadi tukang sirkus ga sih,anis imin cocoky jadi tukang sirkus sih,negative
show sgie cerdas-cermat sekedar sekelas hiburan miskin substansi...!,show sgie cerdascermat dar kelas hibur miskin substansi,negative
"Malas kali aku nengok Gibran ini hanya modal ngomong aja,modal pak Jokowi ya mau gimana lagi.semoga tdk ada lagi cawapres yg hanya modal orangtua tapi benar"" mumpuni step by step.kala prof Mahfud sudah sangat terbukti jejak karirnya semoga masyarakat  memilih yg sudah teruji",kali aku nengok ini hanya modal ngomong ajamodal pak mau gimana lagisemoga tdk ada lagi cawapres hanya modal orangtua tapi benar mumpuni step stepkala prof sudah sangat bukti jejak karirnya moga masyarakat pilih sudah uji,negative
"berisik banget si pendukung2nya, ga denger tata tertib apa",berisik banget dukung denger tata tertib apa,negative
Awalnya aku pilih anies lihat kepintaran gibran aku sekarang yakin pindah nomor 2,aku pilih anies lihat pintar gibran aku sekarang yakin pindah nomor,negative
Muhaimin ....iminnya gk jelas.😂😂😂😂,iminnya jelas,negative
"Si G ini juga gak konsisten kok, rekam jejak dong.",ini juga gak konsisten kok rekam jejak dong,negative
Keren dah jagoanqu nmr 3 🤟🤟🤟,dah jagoanqu nmr,negative
"Suka sama isiny Gibran, tapi gayanya agak pongah diskusi dengan publik juga kurang sehingga hanya percaya diri dengan org terdekat , harapannya lebih bisa berdiskusi lagi dengan masyarakat",sama isiny tapi gaya agak pongah diskusi dengan publik juga kurang sehingga hanya percaya diri dengan org dekat harap lebih bisa diskus lagi dengan masyarakat,negative
"Itu orng"" di dalam ruangan debat kok hrus di ingetin trus buat tenang yaa,, knpa gk d tegasin gak ad yg boleh bersuara dan tepuk tangan klau gk d kasih waktu.. Haduhh pusiinggg",orng dalam ruang debat kok hrus ingetin trus buat tenang yaa knpa tegasin gak boleh suara dan tepuk tangan klau kasih waktu pusiinggg,negative
Orang asal ngomong dibilang pintar 😅,asal ngomong bilang pintar,negative
buzzerr nya banyak  yah,buzzerr nya banyak yah,negative
"Ini bukan gibran,ini pak JOKOWI ❤❤❤❤❤❤❤❤",bukan gibranini pak jokowi,negative
"si paling nyelepet , tiap menanggapi tiap debat pasti selalu ada nyelepet",paling nyelepet tiap tanggap tiap debat pasti selalu ada nyelepet,negative
Hanya mas Gibran tanpa melihat kebawah,mas tanpa lihat bawah,negative
yok gassss mas gibrannn kami anak muda dukung prabowo gibran,yok gassss mas gibrannn kami anak muda dukung prabowo gibran,negative
weh gibran 11 12 sama kayak bapakne cerdas mas sampean,weh gibran sama kayak bapakne cerdas mas sampean,negative
"Kok bisa ya, di channel pendukung Ganjar justru semua komentar memuji Gibran...? 😅",bisa channel dukung justru semua komentar puji,negative
MF saya PILIH MAHMUD MD KARNA tau hukum dan dasar pengetahuannya tidak diragukan lagi 🙏,saya pilih mahmud karna tau hukum dan dasar tahu tidak ragu lagi,negative
"Ternyata oh ternyata IKN bulsit dr investor, dan negara ini diatur oleh google bukan  negara yang mengatur... Oh Indonesiaku... Ternyata IKN adalah tender elit bukan solusi buat rakyat yg semakin terlilit... Hmmm",nyata ikn bulsit investor dan negara ini atur oleh google bukan negara yang atur ikn adalah tender elit bukan solusi buat rakyat makin lilit,negative
"Dari ketiga cawapres ini yang MENARIK dan bisa membuat masyarakat OPTIMIS adalah cawapres no 2 dan 3 yang memang PAHAM dan TAHU akan kebutuhan rakyat nya , meskipun masih ada + - nya , tapi saya HAQUL YAKIN kedua cawapres ini bisa membawa harapan untuk rakyat Indonesia , untuk cawapres no 1 , mohon maaf dengan berat hati , saya sampaikan MISI dan VISI nya masih belum MENGENA di hati saya ,",tiga cawapres ini yang tarik dan bisa buat masyarakat optimis adalah cawapres dan yang memang paham dan tahu akan butuh rakyat nya meski masih ada nya tapi saya haqul yakin dua cawapres ini bisa bawa harap untuk rakyat untuk cawapres mohon maaf dengan berat hati saya sampai misi dan visi nya masih belum kena hati saya,negative
"Ini baru gibaran sebetulnya bukan bocil ingusan, 100% tidak ragu mendukungmu",baru gibaran betul bukan bocil ingus tidak ragu dukung,negative
Awalnya skeptis bisa apa tidak gibran debat tp stelah di mulai gibran cerdas juga.,skeptis bisa apa tidak gibran debat stelah mulai gibran cerdas juga,negative
Janji kalian semua omong kosong belaka,kalian semua omong kosong belaka,negative
🎉 prabowo gibran,prabowo gibran,negative
Muhaimin lgi berpuisi 😅,lgi puisi,negative
"TUA DOANG KAGA KONSISTEN, 
TERTERA :GIBRAN 🫰",tua doang kaga konsisten tera gibran,negative
"maju gibran prabowo , ngomong realita aja langsung , ketimbang janji"" tak kunjung datang ;)",maju gibran prabowo ngomong realita aja langsung ketimbang janji tak kunjung datang,negative
Gue sih suka si Gibran tetap menunjukan rasa hormat ke Prof Mahfud. Sopan santun tetap terjaga. Keren lah.,sih suka tetap tunjuk rasa hormat santun tetap jaga lah,negative
Kasian prabowo,prabowo,negative
ALL IN PRABOWO - GIBRAN 🤙,all prabowo gibran,negative
Aq termasuk licik dari awal ada acara debat g pernah nonton begitu menang ✌️baru lihat debat sekarang 😂❤Pade wi pade wo❤mas gibran✌️,masuk licik dari awal ada acara debat pernah nonton begitu menang baru lihat debat sekarang pade womas gibran,negative
All in prabowo gibran 1 putaran,prabowo gibran putar,negative
"Mas gibran kek Bapaknya banget..😭beliau bicara karena harus bicara dan kalau dirasa tdk bermanfaat tdk mau buang"" energi 
untuk itu..biasanya SIFAT seperti itu dimiliki oleh seorang pemimpin..setelah berbicara dgn standar yg ada dlm dirinya..orang yg hanya melihatnya seorang pendiam atau bahkan keliatan plonga plongo sebenarnya orang"" yg di dalam otaknya bnyk ide n pikiran tapi tdk mau aja melihatkan  tanpa ada dasar yg mereka pikir itu penting gt..inilah orang"" yg jenius bukan cuma smart ya gaes ya💕klu pak.jokowi emang agak sedikit kalem pembawaanya..klu mas.gibran agak sedikit tegas, dikarenakan mas gibran anak pertama yg notabene harus senantiasa melindungi adik""nya, kasarnya bisa jadi pengganti bapak atau ibunya disaat org tuanya tdk ada ya gt anak tertua..klu mbk.Ayang punya sifat ditengah""nya ada sedikit pendiam n jg ada sedikit bs diajak easy going jg..tapi klu mas.kaesang kan yg paling kecil paling dimanja jadi keliatan BGT yg paling easy going gt menurutku💕",gibran kek bangetbeliau bicara karena harus bicara dan kalau rasa tdk manfaat tdk mau buang energi untuk itubiasanya sifat seperti itu milik oleh orang pemimpinsetelah bicara dgn standar ada dlm dirinyaorang hanya lihat orang diam atau bahkan liat plonga plongo benar orang dalam otak bnyk ide pikir tapi tdk mau aja lihat tanpa ada dasar mereka pikir itu penting gtinilah orang jenius bukan cuma smart gaes yaklu pakjokowi emang agak sedikit kalem pembawaanyaklu masgibran agak sedikit tegas karena mas gibran anak pertama notabene harus senantiasa lindung adik kasar bisa jadi ganti bapak atau ibu saat org tua tdk ada anak tertuaklu mbk punya sifat tengah ada sedikit diam ada sedikit ajak easy going jgtapi klu maskaesang kan paling kecil paling manja jadi liat bgt paling easy going turut,negative
5:45 buset ngechant,buset ngechant,negative
Kok gemesh bgt si sama cawapres no.3 .. jawaban nya ambigu semua .. jadi gini ya .. hal baru ? . Titipan partai ?? Sebenernya mau gosip apa gimana si,gemesh bgt sama cawapres jawab nya ambigu semua jadi gin hal baru partai mau gosip apa gimana,negative
Dulu mimpin bener sekarang gak bener kayak bapak lu,mimpin bener sekarang gak bener kayak bapak,negative
"Inti dari paslon 1 adalah slepet.. udah itu aja, main gajah duduk aja kita..",dari paslon adalah slepet udah itu aja main gajah duduk aja kita,negative
inget ya asam sulfat😂...,inget asam sulfat,negative
"Moderator: audience tolong tenang 😂😂😂
Rakyat: makanya undang audience yg netral, klo bisa yg golput.😊",audience tolong tenang makanya undang audience netral klo bisa golput,negative
Tidak tergoyahkan walaupun tatag bicara yg akan mampuh membangun sudah jelas rekam jejak ya Anies Rasyid Baswedan.,goyah walaupun tatag bicara akan mampuh bangun sudah jelas rekam jejak,negative
Banyak ahli cripto,ahli cripto,negative
*seru nyimak diskusi Cak Imin VS Pak Mahfudz,seru nyimak diskusi,negative
Prabowo Gibran mana suaranya,mana suara,negative
"no 2 gak sok agamais, gak sok ngomongin korupsi wkwkwkwwk zaman now yang nomongin korupsi dia yang korupsi padahal ❤",gak sok agamais gak sok ngomongin korupsi wkwkwkwwk zaman now yang nomongin korupsi dia yang korupsi padahal,negative
"Debat cawapres tdk dpt mempengaruhi pilihanku, pokoknya saya pilih Anies... Anies.",cawapres tdk dpt pengaruh pilih pokok saya pilih,negative
Pak Pranowo boleh kalah tapi Mas Gibran pasti menang,boleh kalah tapi pasti menang,negative
Cak imin kering bgd mulutnya sampe belibet.. 😅,imin kering bgd mulut sampe belibet,negative
Cak imin lebih tepat jadi co host nya Sule di OVJ🥴 Prof mahfud terlihat down,imin lebih tepat jadi host nya ovj mahfud lihat down,negative
Bismillah mas Gibran,mas,negative
Orang cerdas pilih 2 kecuali orng yang dungu,cerdas pilih kecuali orng yang dungu,negative
Wah ternyata gibran cerdas Indonesia menuju emas. Hidup gibran anak muda. Kl menanggapi dan menjawab. Slalu dgn tenang. Muda yg ktny anak. Bnyk. Yg blg anak ingusan. Tp cerdas. Pintar. Ayo kita pilih PAN. ( prabowo gibran 👍),nyata gibran cerdas tuju emas gibran anak muda tanggap dan jawab dgn tenang ktny anak blg anak ingus cerdas kita pilih pan prabowo gibran,negative
Cak imin kalau lihat rekaman ulang ini apa gk malu yaa... Semua stagment nya kok normatif,imin kalau lihat rekam ulang ini apa malu yaa stagment nya kok normatif,negative
prabowo gibran🔥🔥🔥,prabowo gibran,negative
"Berasa, nonton dosen debat dengan mahasiswa cumlaude.   Yang satu lagi kalian pasti tau sbg apa 😊",nonton dosen debat dengan mahasiswa cumlaude satu lagi kalian pasti tau sbg apa,negative
Gak konsisten,konsisten,negative
"Hanya gibran yg menyampaikan visi misi dengan baik, jelas, dan terarah.",gibran sampai visi misi dengan baik jelas dan arah,negative
Ternyata mas Gibran pinter😅 dlu ku ragu knpa ku jadi merinding kaya bapak nya ternyata dh..ga golput lagi sbgai anak muda 😅 pkok nya Paslon 2 Yes aku,mas pinter dlu ragu knpa jadi merinding kaya bapak nya nyata dhga golput lagi sbgai anak muda pkok nya aku,negative
Gibran keren 😂 dia bisa jawab sanggahan dg cerdas. Pendiem emng beda. Sekali ngomong das des,keren dia bisa jawab sanggah cerdas emng beda ngomong das des,negative
Pak Mahmud MD ini mengklitik kropsi .. itu nama nya orang reseh kata orang desa,ini klitik kropsi itu nama nya orang reseh kata orang desa,negative
"Korupsi memang penyebab Indonesia tidak maju, hukum mati koruptor🥺",memang sebab tidak maju hukum mati koruptor,negative
Males bnget w denger ocehan si MD..ocehqn penuh kebohongan...dari raut muka atau cara bicarany memancarkan kejahatan2n Dy d masa lalu....,bnget denger oceh mdocehqn penuh kebohongandari raut muka atau cara bicarany pancar kejahatann masa lalu,negative
Kayak dengerin suaranya Jokowi 😅😅😅 ftokopi,dengerin suara ftokopi,negative
"Level debat Gibran anti bertele-tele,tepat, tegas , lugass dalam menyampaikan tanggapan dan sesuai konteks . 
Bapak2 itu dibuat ketar-ketir sama titisan Jokowi😅. Bapak2 itu seakan2 lagi ceramah Juma'at . Bosenn kebanyakan ngomong..rakyat gak butuh omong banyak 😂",debat anti berteleteletepat tegas lugass dalam sampai tanggap dan sesuai konteks bapak itu buat ketarketir sama titis bapak itu akan lagi ceramah banyak ngomongrakyat gak butuh omong banyak,negative
Keren mas gibran,mas gibran,negative
Seneng bgt sama adabnya mas gibran.,bgt sama adab mas gibran,negative
"Siapa yang merasa performance prof mahfud seperti down dibawah ekspektasi kita? 
Apa karena diawali dengan orasi Pak Gibran yang benar2 terukur dan terarah jadi lawannya pada gogri😂",yang rasa performance prof mahfud seperti down bawah ekspektasi kita karena awal dengan orasi yang benar ukur dan arah jadi lawan pada gogri,negative
Merinding klau liat gibran berbicara🎉🎉🎉🎉❤❤❤❤,klau liat gibran bicara,negative
Setelah liat debat ini yakin survey prabowo-gibran makin naik karena anak muda yg blm pnya pilihan skrng mantap pilih prabowo-gibran karena mewakili anak muda pikirannya jauh kedepan dibanding 2 lawan debatnya,liat debat ini yakin survey prabowogibran makin naik karena anak muda blm pnya pilih skrng mantap pilih prabowogibran karena wakil anak muda pikir jauh depan banding lawan debat,negative
Saya pilih Aamiin..,pilih,negative
"Kelihatan banget yg mana yg tulus , yg mana yg munafik dari  bahasa tubuh nya saat bicara . 
2 3 👍",banget mana tulus mana munafik dari bahasa tubuh nya saat bicara,negative
"Mahfud diminta menyampaikan Visi Misi dan Program Kerja malah curhat, malah pidato. Kasian bpk prof.
Cak Imin apalagi malah cocok pidato dpn anak2.",minta sampai dan malah curhat malah pidato bpk prof apalagi malah cocok pidato dpn anak,negative
Pantas pak prabowo pilih anak muda mas gibran walaupun pendiam ternyata jenius dan pemikir yang membangun,pak prabowo pilih anak muda mas gibran walaupun diam nyata jenius dan pikir yang bangun,negative
Pak Gibran masya Allah nggk banyak janji dan stetmen beliau sangat jelas in shaa allah bissmillah prabowo Gibran presidenk qu di tahun 2024,masya nggk banyak janji dan stetmen beliau sangat jelas shaa allah bissmillah prabowo presidenk tahun,negative
Gak bakal salah pilih..tetep prabowo gibran,bakal salah pilihtetep prabowo gibran,negative
"Yg bilang Gibran plana plongo tuh lihat orang cerdas faham kapan dia diam dan kapan  dia bicara ,,, orang genius memang beda dg orang yg hanya bisa manjudge sesorang padahal dia sendiri blo on 🤣🤣🤣🤣 Prabow GIBRAN YESSSSS 🇲🇨 ,, masih percaya sama politikus senior yg sdh faham jalur korupsi ? 😂😂😂😂",bilang plana plongo tuh lihat orang cerdas faham kapan dia diam dan kapan dia bicara orang genius memang beda orang hanya bisa manjudge sorang padahal dia sendiri blo gibran yesssss masih percaya sama politikus senior sdh faham jalur korupsi,negative
Jawaban2 Gibran tidak nyambung dengan pertanyaan panelis. Bicara hanya itu2 saja,jawab tidak nyambung dengan tanya panelis hanya itu saja,negative
Prabowo gibran menuju Indonesia emass,gibran tuju emass,negative
Cocok nih klo Anis di sandingkan dg Gibran.,nih klo sanding,negative
Tetp bpk prabowo yg sllu tulus mngabdi rakyat,bpk prabowo sllu tulus mngabdi rakyat,negative
Nomer 3 agak kocak🙏,agak kocak,negative
Debat rasa CERDAS CERMAT dan soal bocor sblm debat...,rasa cerdas cermat dan soal bocor sblm debat,negative
"saya ngefens banget sama paslon no 3,..tapi sya lebih memilih paslon no 2...lebih mantep",saya ngefens banget sama paslon tapi sya lebih pilih paslon lebih mantep,negative
"Mana yg berani mengesahkan UU Darurat Korupsi
Miskinkan pejabat korup dan hukum mati
Itu baru pejabat dan pemerintahan yg top",berani kesah jabat korup dan hukum mati baru jabat dan perintah top,negative
"Imin di cengin gibran anjir , 😂😂😂😂",cengin gibran anjir,negative
"pak min itu aneh bngt pas sesi tanya jawab antar paslon, msak dia nnyak tips and trick bangun solo.. kan jdnya mlah bkin gibran itu bersinar ya wkwkwkkwk. semangattt mas gibran, aku pada mu",pak min itu aneh bngt pas sesi tanya jawab antar paslon msak dia nnyak tips and trick bangun solo kan jdnya mlah bkin gibran itu sinar wkwkwkkwk semangattt mas gibran aku pada,negative
"Uchiha Sasuke & Uzumaki Boruto
pilih no.2",pilih,negative
Cak Imin kalah sama Gibran😮😮😮,kalah sama,negative
komentar dipenuhi dengan dukungan nomer urut 2 PRABOWO GIBRAN🔥,komentar penuh dengan dukung nomer urut prabowo gibran,negative
Maaf saya tidak akan pilih prabowo gibran boleh aja kan ?,saya tidak akan pilih prabowo gibran boleh aja kan,negative
"puas sama gibran, kirain bakalan di sayur sama 2 senior ternyata mampu membuktikan, 
""gw ga seingusan itu ""...!",puas sama gibran kirain bakal sayur sama senior nyata mampu bukti ingus itu,negative
"Pak mafud ky cenderung mendorong gibran seperti sejalan ,,dg gibran",mafud cenderung dorong gibran seperti jalan gibran,negative
Keren mas gibran bisa mengimbangi sekelaa pk mahmud mahkan lebih good di atas pk mahmud 👍👍👍👍,mas gibran bisa imbang sekelaa mahmud mah lebih good atas mahmud,negative
Cuman minta 1 buat pelamar kerja gausah banyak pensyaratan malu sama luar negri gajih puluhan juta cuman ijazah SD 😅,minta buat lamar kerja gausah banyak pensyaratan malu sama luar negri gajih puluh juta cuman ijazah,negative
"Mahfud Karna kebanyakan makan Sate Jadi nya ya semafud, kena serangan darah tinggi, Sok2 an kayak udah Pinter sendiri, padahal cuma bnyak Omong aja ,tapi kerja 0",banyak makan nya semafud kena serang darah tinggi sok kayak udah sendiri padahal cuma bnyak aja tapi kerja,negative
Mas Imin mas Imin 😂😂😂,mas,negative
Sayang sekali pak Mahfud dan Ganjar usungan pedeipeh..krna pedeipeh tidak perlu suara umak Islam..sombong makbanteng .jdi saya pilih amin..,sekali pak dan usung pedeipehkrna pedeipeh tidak perlu suara umak sombong makbanteng jdi saya pilih amin,negative
😂😂 memang capres cawapres no urut 1 itu suka banget membual yah .. kalo ngomong kaya ngebohongi anak TK ..,memang capres cawapres urut itu suka banget bual yah kalo ngomong kaya ngebohongi anak,negative
Gibran memang berkelas👍👍👍👍,memang kelas,negative
Maaf saya GOLPUT,saya golput,negative
jujur gua orang jatim.. tapi kenapa gak paham arti slepet 😢😢,jujur gua orang jatim tapi kenapa gak paham arti slepet,negative
"Pak Muhaimin gag singkron bilang harus realistis, tapi mw bikin 40 kota kayak Jakarta 🤪🫣😬",gag singkron bilang harus realistis tapi bikin kota kayak,negative
All in PRABOWO,prabowo,negative
Cawapres yg dua miknya 1 kalaupun ada 2 yg satu kurang maksimal tapi kalau cawapres yg 1 miknya ada 4 😂😂😂,dua mik kalaupun ada satu kurang maksimal tapi kalau cawapres mik ada,negative
"Kami sudah konsisten dan komitmen dengan pilihan kami  pilihan kami,",sudah konsisten dan komitmen dengan pilih kami pilih kami,negative
Aku melihat gibran seperti bj habibi❤,lihat gibran seperti habibi,negative
"Anis cuma jago kosa kata, namun miskin ide...Prabowo Gibran tdk bnyak bicara, tpi banyak kerjaa",cuma jago kosa kata namun miskin ide tdk bnyak bicara tpi banyak kerjaa,negative
Gibran bicara masa depan mahfud bicara pengalaman imin bicara khayalan,bicara masa depan mahfud bicara alam imin bicara khayal,negative
Ini yang ditakutkan megawati,yang takut megawati,negative
Planga plongo Gibran ..tapi cerdas lugas...pokok nya no 2 Prabowo gibran❤,plongo tapi cerdas lugaspokok nya gibran,negative
Calon rampok2 negara,rampok negara,negative
❤❤❤MAS GIBRAN,mas gibran,negative
"Harusnya timses gak usah diundang debat gini, sumpah kyk nonton bola",timses gak usah undang debat gin sumpah kyk nonton bola,negative
2 aja lah ya,aja lah,negative
Bingung mo pilih gibran atau prabowo😅,pilih gibran atau prabowo,negative
Siapa pun pemenang nya saya dukung tapi saya tidak mendukung petugas partai yg suka nonton,pun menang nya saya dukung tapi saya tidak dukung tugas partai suka nonton,negative
"😭😭😭😭
Saya sebenarnya gk ingin ada debat cawapres karna saya takut Gibran gk bisa jawab karna Lawan-lawan Nya udah Pada Master terutama MD
Ternyata di Luar perkiraan saya Gibran Pintarnya Luar biasa
Maju Prabowo-Gibran Saya akan terus-menerus menyuarakan kepada Masyarakat Agar Prabowo-Gibran menang",benar ingin ada debat cawapres karna saya takut bisa jawab karna lawan udah utama kira saya biasa akan terusmenerus suara kepada menang,negative
"Panelis nya ngeri2 cuy gak ada yang kek kita2 ecek2,berpendidikan semua",nya ngeri cuy gak ada yang kek kita ecekberpendidikan semua,negative
Kepala gibran kok banyak kabelnya.itu siapa yg bisikin gibran.dulu bapaknya juga kepalanya banyak kabelnya,gibran kok banyak kabelnyaitu siapa bisikin gibrandulu bapak juga kepala banyak kabel,negative
"Entahlah..siapa yg salah.
Sy atau anak sy yg salah..",siapa salah atau anak salah,negative
Imin ngomong apa si muter muter jawaban,ngomong apa muter muter jawab,negative
"Dulu awalnya saya ragu dengan Anies, setelah saya merasakan dampak kurikulum nya, saya merasakannya sendiri. Bahagia😊 tetap Anies",awal saya ragu dengan telah saya rasa dampak kurikulum nya saya rasa sendiri tetap,negative
Alhamdulillah kita skrg melek digital.melek info..mas Gibran buktikan dia tidak banyak komen sana sini tapi dia fokus kedepan.lugas.twgaa dan berplaning..kita dukung siapapun yg baik gagasan nya yg jelas,kita skrg melek digitalmelek infomas bukti dia tidak banyak komen sana sini tapi dia fokus kedepanlugastwgaa dan berplaningkita dukung siapa baik gagas nya jelas,negative
Udah jelas mass Gibran lah pemenangnya dalam debat ini..,jelas mass lah menang dalam debat ini,negative
Salut banget sama respon & Jawabannya mas Gibran ✌️🎉🎉,banget sama respon mas,negative
Merinding denger gibran 02joos,denger gibran joos,negative
Simbol doang prakteknya gak jelas n investor konteknya asing bukan pemegang konsesi lahan samsuull,doang praktek gak jelas investor konteknya asing bukan pegang konsesi lahan samsuull,negative
GEMOY PRABOWO GIBRAN ❤❤❤❤,gemoy prabowo gibran,negative
"Galau dan hampir golput. 
Tapi setelah jdi pertimbangan..
""Yang penting bukan Anis"" (krena saya warga jakarta tau persis kelakuan anis)
""Yg Penting bukan PDI"" 

Brarti mau gk mau pilih 2 dripada golput..
Tpi setelah liat debat, jdi tanpa keraguan pilih 2.. ❤",dan hampir golput telah jdi timbang penting bukan krena saya warga jakarta tau persis laku anis bukan pdi mau mau pilih dripada golput telah liat debat jdi tanpa ragu pilih,negative
Sgie😂😂😂😂terus terang saya ngak paham😂😂😂,terang saya ngak paham,negative
Cak imin bansos + plus sama ngambil jakarta kjp +,imin bansos plus sama ngambil jakarta kjp,negative
Kakek mahmud tabrak tabrak katanya wir,mahmud tabrak tabrak kata wir,negative
"Ttp prabowo gibran,satu putaran",prabowo gibransatu putar,negative
"kenapa bnyak kebakaran jenggot ama gibran,,,kalau merasa lebih baik jangan minder",kenapa bnyak bakar jenggot ama gibrankalau rasa lebih baik jangan minder,negative
Gibran banyak gak nyambung kalau di tanya .....parah,banyak gak nyambung kalau tanya parah,negative
"pantes para lawan pada takut sama blimbing sayur, baru tahu saya, rupanya ternyata Mas Gibran itu pintar ya.",pantes para lawan pada takut sama blimbing sayur baru tahu saya rupa nyata itu pintar,negative
Pemimpin Generasi Milenia menguasai materi meski lawannya diatas usianya,kuasa materi meski lawan atas usia,negative
Janjine no 3 kebanyakan,banyak,negative
Bio bio bio bio gak ada lagi???,bio bio bio gak ada lagi,negative
No 02 harga mati❤,harga mati,negative
Yang perlu digaris bawahi adalah anak haram konstitusi itu sama aja dengan penipu bangsa.... Yang mendukung artinya senang ditipu...,perlu gar bawah adalah anak haram konstitusi itu sama aja dengan tipu bangsa dukung arti senang tipu,negative
Gw orang netral ya..dan yg gw liat sama kaya tahub sebelumnya pepesan kosong semua,orang netral yad liat sama kaya tahub belum pepes kosong semua,negative
Amin terbaik. Gibran mbulet. Ditnya apa jawabnya apa. Cm bisa omong besar dan tidak realistis dg fakta,baik mbulet apa jawab apa bisa omong besar dan tidak realistis fakta,negative
Mas gibran...mas gibran...nngrrti debat tdk...sruh menaggapi lawan ny kok yo mlh orasi sndri piye😅,gibranmas gibrannngrrti debat tdksruh menaggapi lawan kok mlh orasi sndri piye,negative
"Yg bilang saya kecewa sama hj prabowo karna pilih gibran jadi wakil ehemm 🤣🤣balik""sini",bilang saya kecewa sama prabowo karna pilih gibran jadi wakil ehemm baliksini,negative
GIBRAN EMANG JOSSSSSS,gibran emang jossssss,negative
Dari diskusi in koq ...pasangan prabowo digituin ..ya......mas gibran mantap berusaha menjelaskan misi justru yng lain koq mngkritiki aja,diskusi koq pasang prabowo digituin yamas gibran mantap usaha jelas misi justru yng lain koq mngkritiki aja,negative
"Jgn banyak janji pak Krn rakyat makin susa pupuk dan BBM naik semua,,sawit murah rakyat hrs igt janji dulu yg dirasakan rakyat makin susa.",banyak janji pak rakyat makin susa pupuk dan bbm naik semuasawit murah rakyat hrs igt janji dulu rasa rakyat makin susa,negative
"Bismillah..
Sa orng solo apa yg d bilang mas gibran nyata adanya...mengenai kota solo. nyalaa",orng solo apa bilang mas gibran nyata adanyamengenai kota solo nyalaa,negative
"pilih yg anti korupsi 
milih kok yg hanya jago debat hufff
pyah",pilih anti korupsi milih kok hanya jago debat hufff pyah,negative
ga ngaruh... aku tetap golput,ngaruh aku tetap golput,negative
Debat yg cawapres sangat berkelas tidak saling menjatuhkan,cawapres sangat kelas tidak saling jatuh,negative
Debat Main Main kalau mau debat di Kampus sana dengan Propesor hadapi,kalau mau debat sana dengan hadap,negative
😂😅 imin terjangkit firus Anis dalam jurus tipu2 kosong 40 kota yg sama jakarta 5 tagun ya pak imin aduhh ketularan anis ni pak imin😂.. Dulu dukung IKN skrng ga.. pak imin ohhh pak imin begitulah klo sudah jadi bempernya si DP 0% hasil 0 🤭 😁,imin jangkit firus dalam jurus tipu kosong kota sama jakarta tagun pak imin aduhh tular anis pak imin dukung ikn skrng pak imin ohhh pak imin begitu klo sudah jadi bemper hasil,negative
"jangan ada pemilu jika kasus rohingya belum selesai,,kita mau rohingya di pulangkan ke negaranya dan UNHCR di bubarkan,gak ada gunanya berdiri di indonesia,,yg setuju up komen like komen sya guys",jangan ada milu jika kasus rohingya belum selesaikita mau rohingya pulang negara dan unhcr bubarkangak ada guna diri indonesiayg tuju komen like komen sya guys,negative
yg pendukung Prabowo gak bahaya Tah? udah gagal 3x gak malu jadi pendukungnya untuk yg ke 4x nya😅,dukung gak bahaya udah gagal gak malu jadi dukung untuk nya,negative
"Mantap Mas Gibran Rakabuming Raka, anda memang yang terbaik.Saya  beri nilai anda 100. Kalo Pak.Mahmud 80..Tapi untuk Gus Muhaimmin, maaf hanya point 50.  Muhaimmin banyak visi misinya yang ngak masuk akal...",anda memang yang baik beri nilai anda untuk maaf hanya point banyak visi misi yang ngak masuk akal,negative
"disni nampak jelas , usia dan gelar tidak pengaruh karena hanyalah angka ,, imin cuma ngomong nyelepet , selebihnya imin grogi dan gak nyambung😂😂😂😂😂",disni nampak jelas usia dan gelar tidak pengaruh karena hanya angka imin cuma ngomong nyelepet lebih imin grogi dan gak nyambung,negative
