comment,cleaned_comment
"kirain cuman ada di game Mobile Legends, di real life jg ada the real Anies menggendong cak imin😂",kirain cuman ada game real life ada the real gendong cak imin
"Jawaban Gibran sangat masuk akal, Visi n Misi jelas n focus, ✌️👏🏻",sangat masuk akal jelas focus
"Ngomong ngalor ngidul. Saya orang awam. Tidak banyak mengerti literasi kata. Tapi kalian mengerti bukan? Jawaban jawaban mana yg nyambung mana yg ga nyambung yg sesuai pertanyaan

Ikan hiu jaka sembung..",ngalor ngidul orang awam banyak erti literasi kata kalian erti bukan jawab mana nyambung mana nyambung sesuai tanya hiu jaka sembung
"Dari bibit bobotnya udah jelas no 3 
Matang sekali",bibit bobot udah jelas sekali
Banyak kali akun buzer 02 disini 😂,kali akun buzer sini
Amin njubras...5 m mau berikan tiap th perdesa...itu uang siap...uang utang itu...1 m aja negara dah bangkrut...GK mendidik kasih bansos...cenderung malas kerja...mengandalkan bantuan.,njubras mau ikan tiap perdesaitu uang siapuang utang itu aja negara dah bangkrutgk didik kasih bansoscenderung malas kerjamengandalkan bantu
Gibran mantab... Cerdas dan muda dipahami perkataan nya,mantab dan muda paham kata nya
Yg muda yg bekerja,muda kerja
"ini real ya dari acara resmi . 

Yang komen ga ada dari buzer masing2

Tau sendiri siapa yang unggul da bakal menang 

😂😂😂",ini real dari acara resmi komen ada dari buzer masing sendiri siapa yang unggul bakal menang
"makan siang gratis bener sih. di sekolah yg aku ajar, anak anak ada makan siang dan ngaruh bgt ke perkembangan anak. biasanya anak pada ga suka makan menu tertentu tp setelah ada makan di sekolah jd bisa makan makanan yg bergizi.",makan siang gratis bener sih sekolah aku ajar anak anak ada makan siang dan ngaruh bgt kembang anak biasa anak pada suka makan menu tentu telah ada makan sekolah bisa makan makan gizi
Dari dulu ijin banyak yg berbelit Belit.. berarti sampai sekarang masih berbelit Belit ya.. dan besok masih berbelit Belit juga ya😮,dulu ijin banyak belit arti sampai sekarang masih belit dan besok masih belit juga
Anak muda bergandengan tangan saling dukung  ❤ generasi emas,muda gandeng tangan saling dukung generasi emas
"BAGAIMANA NEGERI ini bisa Maju, Calon wakil pemimpin saja pakai Orang dalam. CUMA ADA di indo",bagaimana negeri ini bisa wakil pimpin saja pakai dalam cuma ada indo
Lumajang all in prabowo gibran.. Meledak... Bummah.. Duaaapah..,all prabowo gibran
Yang ga konsisten itu imin apa belimbing sayur udah jelas2 jadi kader pdi ko malah keluar gabung sama gemoy...,konsisten itu imin apa belimbing sayur udah jelas jadi kader pdi malah keluar gabung sama gemoy
Yaaa allah ini debat sekelas Organisasi sekolah. Kacau betul 🤦,allah ini debat kelas sekolah betul
Kebimbangan ku sudah mendapaka n jwbn...smg Prabowo Gibran yg terpilih Aamiin,sudah mendapaka jwbnsmg pilih
Pak jokowi pasti senyum2 liatnya...bangga punya anak sprti gibran g salah beliau lulusan terbaik.......,jokowi pasti senyum liatnyabangga punya anak sprti gibran salah beliau lulus baik
kali ini 100% saya pilih Prabowo-Gibran,kali ini saya pilih
ngomong apa sih cak imin 🤐🤐🤐,ngomong apa sih cak imin
No 1 hafalan😂,hafal
"Dibilang suruh tenang nanti ada waktunya yel yel, sorak sorai dan tepuk tangan tapi maaassiiihhh ajaa berisik. Pendukung siapa kaliii",suruh tenang nanti ada waktu yel yel sorak sorai dan tepuk tangan tapi maaassiiihhh ajaa berisik siapa kaliii
"Pada sadar ga, moderator berbicara cukup pakai clip on, gus imin prof mahfud cukup pakai clip on. Kenapa gibran pakai mic tangan juga ya? Apakah clip on gibran tidak berfungsi?",sadar moderator bicara cukup pakai clip gus imin prof mahfud cukup pakai clip gibran pakai mic tangan juga clip gibran tidak fungsi
"5m per desa,bbm gratis🌚",per desabbm gratis
Jokowi pindah ke diri Gibran ❤,pindah diri
"Pa Mahfud ini dukung ikn ato ngk tau yg investor yg masuk?
Jepang,korea, China juga sudah masuk
Fifa juga bantu buat stadion di ikn
Apakah ngk masuk dalam investor merekw2 itu???",ini dukung ikn ato ngk tau investor masuk korea juga sudah masuk juga bantu buat stadion ikn ngk masuk dalam investor merekw itu
"Cawapres 1 dan 3 kebanyakan curhat , bukan menjawab pertanyaan 😂",dan banyak curhat bukan jawab tanya
"tadinya meragukan calon wakilnya no 2 tapi setelah liat dia debat,visi misinya jelas ga bertele2 ga ada janji2 manis yg ujung2nya tinggal janji dan paling penting toleransi antar sesama rakyat indonesia.all in untuk no 2",tadi ragu calon wakil tapi telah liat dia debatvisi misi jelas tele ada janji manis ujung tinggal janji dan paling penting toleransi antar sama rakyat indonesiaall untuk
like no 2,like
"Coba komen dong yg wong solo asli, pilih siapa? (Saya butuh pencerahan)",komen dong wong solo asli pilih siapa butuh cerah
"Pak Gibran,
Pak Mahfud... Jawabannya keren....",keren
The special ONE 🇮🇩 AMIN 👍,special one amin
"Yang meremehkan anak muda mana suaranya??!!!!!
Disini kita bisa lihat bahwa butuh pola pikir anak muda untuk bangun negri ini untuk maju🎉
PRABOWO GIBRAN 🎉",remeh anak muda mana suara kita bisa lihat bahwa butuh pola pikir anak muda untuk bangun negri ini untuk maju prabowo gibran
Tanah kan udah ada yang punya..semua  yang mau di bagi tanah yang mna. Tanah  Kuburan...???,kan udah ada yang punyasemua yang mau bagi tanah yang mna
GIBRAN MENCURIGAKAN...KNAPA GIBRAN MENGGUNAKAN MIK DOBLE ? APA MIK YG NEMPEL DIKEPALA MERUPAKAN ALAT PEMBISIK DARI TEAM AHLI YG BISA MEMBANTU GIBRAN ? KNAPA TIDAK SAMA DENGAN YG LAIN..?  KPU TIDAK NETRAL ?,gibran mencurigakanknapa gibran guna mik doble apa mik nempel kepala rupa alat bisik dari team ahli bisa bantu gibran knapa tidak sama dengan lain kpu tidak netral
Nmor 2 hebat ✌️✌️✌️,hebat
"no 3 visi nya punya rumah mudah kayak punya motor, wkwkwkwk",visi nya punya rumah mudah kayak punya motor wkwkwkwk
Slepat slepet 🗿,slepet
AMIN 1 putaran no 2🎉🎉🎉🎉,amin putar
Imin ngomong apa si muter muter jawaban,ngomong apa muter muter jawab
Saya ngak ngerti dengan gaya bicara dan apa yg dibicarakan oleh cawapers no1 dan no 3,ngak ngerti dengan gaya bicara dan apa bicara oleh cawapers dan
jangan curang manusia curang berada di dasar jahanam☝️,jangan curang manusia curang ada dasar jahanam
gibran mantap. all in nomor 2,gibran mantap all nomor
Dulu prabowo gk dipilih karna dia paling gk bnget dibndingkan pesaingnya tapi skrang dia lebih baik daripada yang lainnya jadi ini kemajuan kah atau kemunduran.. dan sya masih netral,prabowo pilih karna dia paling bnget dibndingkan saing tapi skrang dia lebih baik daripada yang lain jadi ini maju kah atau mundur dan sya masih netral
Gibran gada lawan.. singkat.. padat.. dan sangat sangat jelas... yoo prabowo gibran yoookkk,gada lawan singkat padat dan sangat sangat jelas yoo prabowo gibran yoookkk
KelazZZ 2,kelazzz
Kenapa gx gibran yang jadi capres 😢😢😢,gibran yang jadi capres
mirip pk jokowi..,mirip jokowi
"Luar biasa  Gus Imin dan PK Mahfud, mereka orang2 yg sudah matang.....
Dan saatnya bangsa indonesia memakan buahnya......
Koropsi akan sangat bisa d tekan oleh prof Mahfud
Pilihan terbaik yg jelas❤",biasa dan mereka orang sudah matang saat bangsa indonesia makan buah akan sangat bisa tekan oleh prof baik jelas
ALL IN NOMER 2,all nomer
Kuerennnn pak gibrannn👏,pak gibrannn
"Keliatan visi misi generasi tua dan generasi muda, pilihan antara No 2 dan No 3 nihh, abis liat gibran overpower  jadi oke juga No 2",visi misi generasi tua dan generasi muda pilih antara dan nihh abis liat gibran overpower jadi oke juga
yg di kira cupu yg terlihat hemat omong anak ingusan hahaha  ternyata suhu dan lancar menjawab,kira cupu lihat hemat omong anak ingus hahaha nyata suhu dan lancar jawab
"Kelihatannya debat kali ini kaya setingan😅,si profesor di bikin cupu dan si cupu di bikin smart😂,hadeuuuh hebaaat nyetingnya 😮",debat kali ini kaya setingansi profesor bikin cupu dan cupu bikin smarthadeuuuh hebaaat nyetingnya
all in prabowo gibran❤,all prabowo gibran
Ganjar mahmud janjinya muluk muluk,mahmud janji muluk muluk
"Yg saya harapkan pemimpin yg jawabanya rasional,membawa perubahan positif,no agumentatif,real kerja,  lapangan  kerja tersedia,mampu menjamin rakyatnya secara keseluruhan.",saya harap pimpin jawabanya rasionalmembawa ubah positifno agumentatifreal kerja lapang kerja tersediamampu jamin rakyat cara seluruh
mantap gibran..,mantap gibran
"A- untuk mas gibran

A untuk soal hafalan
minus untuk etika",untuk mas gibran untuk soal hafal minus untuk etika
"Mantap Gibran  sangat cerdas, sangat yakin pilih 2",sangat cerdas sangat yakin pilih
pilihan bokap no 1 dia gak nanya gua anaknya kalo gue sebenernya no 2 ✌️,pilih bokap dia gak nanya gua anak kalo gue sebenernya
"Gibran no baca buku , semangat❤❤",baca buku semangat
"gua ga suka ganjar, tapi suka mahfudd gimana dong",gua suka ganjar tapi suka mahfudd gimana dong
IKN harus lanjut sampai tuntas,ikn harus lanjut sampai tuntas
Lebih paham klo gibran yg jelasin😂,paham klo gibran jelasin
Aku terpesona karo mas gibran❤,pesona karo mas gibran
All in Prabowo gibran,gibran
Pas gibran ngomong ada suara yg bocor disuru udah wkwk,gibran ngomong ada suara bocor disuru udah wkwk
"ditunggu undang2 perampasan aset, atau memiskinkan para pelaku koruptor teruntuk para calon",tunggu undang ampas aset atau miskin para laku koruptor untuk para calon
"Mantap mas Gibran santuii santun cerdas,bahasa juga tertata rapi.andalan masa depan anak muda",mas santuii santun cerdasbahasa juga tata rapiandalan masa depan anak muda
"Buzzer 02 banyak buangett gak di IG ,FB ,YT 😅",banyak buangett gak
ngomongmu enak mahmput ' lalu kao jadi wakil 5 tahun ngapain '  jangan banyak omong deh klo nggak 'beneran bekerja',ngomongmu enak mahmput lalu kao jadi wakil tahun ngapain jangan banyak omong deh klo nggak beneran kerja
"Prabowo-Gibran.
""Jiwa kami bergetar.",kami getar
"Ngeri gibran sedikit bicara banyak kerja, mirip pak de sepertinya",gibran sedikit bicara banyak kerja mirip pak seperti
Yg penting ga pilih ganjar,penting pilih ganjar
"Setelah menonton debat ini
Saya yakinkan dan pastikan diri saya pribadi untuk
GOLPUT...
karena mereka GOLTAM....",tonton debat ini yakin dan pasti diri saya pribadi untuk golput karena mereka goltam
Ini yang ditakutkan megawati,yang takut megawati
Terlalu muluk2 pa makmud...bayak contoh...wakil bupati indramayu..mengudurkan diri krn...malu tidak menepati janji2 campaye...,muluk makmudbayak contohwakil bupati indramayumengudurkan diri krnmalu tidak tepat janji campaye
"Yg bilang Gibran pake alat bantu dengar apaan si, itu kan microfon yg lain juga pake",bilang pake alat bantu dengar apa itu kan microfon lain juga pake
"manis2 banget ucapannya, wkwk",manis banget ucap wkwk
"yaelah muhaimin ga ambisi katanya wkwk, dia pindah ke anies kan karna ga dijadiin wakil ama prabowo haha, 01.capres dan cawapresnya ga sesuai omongan
02.capresnya keliatan otoriter tpi aslinya gaada yg tau sifat asli manusia dan cawapresnya cerdas tpi bisa apa klo misal capresnya otoriter.
03.capresnya seorang yg jujur dan amanah dilengkapi cawapresnya yg tegas akan korupsi dan seorang yg adil

FIX ALL IN GANJAR MAHFUD",yaelah muhaimin ambisi kata wkwk dia pindah anies kan karna dijadiin wakil ama prabowo haha capres dan cawapresnya sesuai omong capresnya liat otoriter tpi asli gaada tau sifat asli manusia dan cawapresnya cerdas tpi bisa apa klo misal capresnya otoriter capresnya orang jujur dan amanah lengkap cawapresnya tegas akan korupsi dan orang adil fix all ganjar mahfud
Hongkong all in Prabowo gibran,all gibran
Terlihat... Mana yg memiliki strategi cerdas dan gagasan yg masuk akal.,milik strategi cerdas dan gagas masuk akal
all in prabowo - gibran untuk indonesia maju✌,all prabowo gibran untuk indonesia maju
Dari sini sudah terlihat mana yg sekedar omong doang / omong kosong. Dan omongan yg berbobot.,sini sudah lihat mana dar omong doang omong kosong omong bobot
Prabowo pilihan keluargku,pilih keluargku
"Ada yg bisikin samsul "" UDAH "" 😂😂😂",bisikin samsul udah
ELU PENGHIANAT KE PDI PERJUANGAN.,elu penghianat pdi juang
Mas Gibran mewakili anak muda karena sudah tegas atas pertanyaan ini dijawab ngawur dan akhirnya dipertegas lagi😂,wakil anak muda karena sudah tegas atas tanya ini jawab ngawur dan akhir tegas lagi
Saya sebagai anak bangsa . Saya mendukung penuh Prabowo Gibran  visi misi nya  fokus ke masa depan bgt❤ ga banyak omong tapi langsung di buktikan ❤,bagai anak bangsa dukung penuh visi misi nya fokus masa depan bgt banyak omong tapi langsung bukti
Gibran yg membuat marna indonesia ini akang bercahaya selalu,buat marna indonesia ini akang cahaya selalu
Mari kita wujudkan cawapres termuda di dunia....,kita wujud cawapres muda dunia
"Yg sudah pikun mundur, biarkan anak muda yg maju",sudah pikun mundur biar anak muda maju
"Luar biasa sosok anak muda yg hebat, dari Saumlaki selalu setia kepada mas gibran",biasa sosok anak muda hebat dari selalu setia kepada mas gibran
Wapres perlu yng muda ga sih harus kan,perlu yng muda sih harus kan
gibran kyk hafalan,gibran kyk hafal
prof mahfudz seperti guru yang menjelaskan pertanyaan dari muridnya,prof mahfudz seperti guru yang jelas tanya dari murid
Sebagai sarjana teknik kimia yang memiliki ketertarikan terhadap bioenergi yang tugas akhirnya bioetanol dan pernah mengerjakan projek tugas kuliah biodiesel sangat antusias apabila indonesia sanggup menguasai industri menjajikan masa depan tersebut.,sarjana teknik kimia yang milik tari hadap bioenergi yang tugas akhir bioetanol dan pernah kerja projek tugas kuliah biodiesel sangat antusias apabila indonesia sanggup kuasa industri menjajikan masa depan sebut
GIBRAN ❤❤❤,gibran
"Kerja,kerja,namun gaji ngk naik juga,,,,,mAntap pak amin.",kerjanamun gaji ngk naik jugamantap pak amin
Mas gibran mantap,gibran mantap
Setelah lihat debat Gibran aku pikir masih mentah untuk menjadi Capres. Itu lah blunder Prabowo. Saya pilih no 1 atau no 3 aja,lihat debat aku pikir masih mentah untuk jadi lah blunder pilih atau aja
Saya mh gk mau janji pak muhaimin  . Cuman sy sbagei rayat pingin yg bukti aja ... Seru ni Aku dukung poko nya O2 Prabowo gibran ingsaaloh Indonesia menuju mas👍👍,mau janji pak muhaimin sbagei rayat pingin bukti aja dukung poko nya gibran ingsaaloh tuju mas
"Tidak Debat...Musyawarah aja ??
 وَاَطِيْعُوا اللّ?هَ وَرَسُوْلَه? وَلَا تَنَازَعُوْا فَتَفْشَلُوْا وَتَذْهَبَ رِيْحُكُمْ وَاصْبِرُوْا? اِنَّ اللّ?هَ مَعَ الصّ?بِرِيْنَ? . الانفال: 46
     Dan tha'atlah kepada Allah dan Rasul-Nya dan janganlah kamu berbantah-bantahan, yang menyebabkan kamu menjadi gentar dan hilang kekuatanmu dan bershabarlah. Sesungguhnya Allah beserta orang-orang yang shabar. [QS. Al-Anfaal : 46]
 وَا لَّذِيْنَ اسْتَجَا بُوا لِرَبِّهِمْ وَاَ قَا مُوْا الصَّلٰوةَ ۖ وَاَ مْرُهُمْ شُوْرٰى بَيْنَهُمْ ۖ وَمِمَّا رَزَقْنٰهُمْ يُنْفِقُوْنَ 
    ""Dan (bagi) orang-orang yang menerima (mematuhi) seruan Tuhan dan melaksanakan sholat, sedang urusan mereka (diputuskan) dengan musyawarah antara mereka; dan mereka menginfakkan sebagian dari rezeki yang Kami berikan kepada mereka,""
(QS. Asy-Syura 42: Ayat 38) 
(( Sampaikan visi dan misi aja Boss. Biar masyarakat yg nilai ))",aja thaatlah kepada dan dan jangan kamu berbantahbantahan yang sebab kamu jadi gentar dan hilang kuat dan bershabarlah serta orangorang yang shabar bagi orangorang yang terima patuh seru dan laksana sholat sedang urus mereka putus dengan musyawarah antara mereka dan mereka infak bagi dari rezeki yang ikan kepada mereka visi dan misi aja masyarakat nilai
Kata kata telahir pak mahfud  yang nomer 11. Masjid sejah terah pengurus masjid terlindungin. Pak mahfud mungkin lupa . Kalo di negara kita masi ada agama lain nya juga.. Maaf kalo kata kata aku salah🙏🙏🙏,kata tahir pak mahfud yang nomer jah terah urus masjid terlindungin mahfud mungkin lupa negara kita mas ada agama lain nya juga kalo kata kata aku salah
Nah gini baru anak muda cerdas😊,gin baru anak muda cerdas
Prabowo Gibran all in ❤,all
"Wkwk komen tentang gibran di official news sudah di seting, masa yang komen dukung gibran semua",komen tentang gibran official news sudah ting masa yang komen dukung gibran semua
(02) Indonesia 2004 dan slanjutnya tegas bersih dan populer,dan slanjutnya tegas bersih dan populer
Mohon maaf yaa Guss kalau pertanyaannya agak susah... SGIE..😂😂😂,maaf yaa kalau tanya agak susah sgie
"Saya mendukungmu pak prabowo dan mas gibran ,semangat💪",dukung pak prabowo dan mas gibran semangat
mantap inews,mantap inews
"Silahkan pilih pilihan masing2 , yang penting no 1 presidennya. aamiin",pilih pilih masing yang penting presiden aamiin
Bebek caroknya kakakkk... Langsung orderrrr,caroknya kakakkk orderrrr
"Saya ingin mendukung no.2 
Karena saya anak no.2
Namun program yg membuat saya tidak searah adalah program makan siang gratis dengan dana 400 triliun.
Jika ada 400 triliun untuk membangun jalan di 521 kabupaten atau kota rata di seluruh Indonesia.
Masih banyak jalan di Kalimantan, Sulawesi, Papua, NTB, Jawa dan Sumatra yg belum ada pengerasan dan diaspal.",ingin dukung saya anak program buat saya tidak arah adalah program makan siang gratis dengan dana triliun ada triliun untuk bangun jalan kabupaten atau kota rata seluruh banyak jalan ntb dan belum ada keras dan aspal
Gibran benar2 diluar dugaan ! kerennnn,benar luar duga kerennnn
Cak imin kering bgd mulutnya sampe belibet.. 😅,imin kering bgd mulut sampe belibet
Salam 3 jari,jari
Pak ganjar pdhal aku pilih sampean loh pak bapak salah pilih wapres 😞,ganjar pdhal aku pilih sampean loh pak bapak salah pilih wapres
"Bingung, milih Raka atau prof Mahfud md",milih atau prof
Dari 10 RB comenn 99% pilih Prabowo gibrann🥳🥳🥳🥳,comenn pilih gibrann
"Hai pemirsa...mulanya ogud kira pk pak gibran, gak kan menang debat dgn senior pak mahmud & pak imin...soalnya klo dibelakang layar, klo di wawancarai slalu menghindar dari wartawan..ibarat pura2 tak bisa kungfu,,rupanya pak gibran pesilat yg tangguh..ogud sungguh kagum,,,mari kita oplos untuk pak gibran👏👏👏👏👏",pemirsamulanya ogud kira pak gibran gak kan menang debat dgn senior pak mahmud pak iminsoalnya klo belakang layar klo wawancara slalu hindar dari wartawanibarat pura tak bisa kungfurupanya pak gibran silat tangguhogud sungguh kagummari kita oplos untuk pak gibran
IMIN NGOMONG APASI😂,imin ngomong apas
"Ayo, satukan suara utk dukung Capres No 2.
Prabowo- Gibran",satu suara utk dukung
"Inti dari paslon 1 adalah slepet.. udah itu aja, main gajah duduk aja kita..",dari paslon adalah slepet udah itu aja main gajah duduk aja kita
yg penting koroptor di hukum seberat beratnya dan di miskinkan sita aset asetnya,penting koroptor hukum berat berat dan miskin sita aset aset
"semuga perubahan nkri terwujud yg adil makmur santosa,tk pandang siapa yg menjadi penyalur lidah rakyat,perdebatan tk menjamin seseorang itu mampu mewujudkan perubahan",semuga ubah nkri wujud adil makmur santosatk pandang siapa jadi salur lidah rakyatperdebatan jamin orang itu mampu wujud ubah
"please nerf gibran, dia terlalu OP 😂
fixs prabowo gibran ❤",please nerf gibran dia terlalu fixs prabowo gibran
Gibran msh teori buku artinya sengaja melontarkan kata2 yg diambil dari teorimisalnya SGIE seolah dia menguasai tp dilihat dari cara bicaranya msh SPT dosen blm mencerminkan pimpinan yang berpengalaman,msh teori buku arti sengaja lontar kata ambil dari teorimisalnya sgie olah dia kuasa lihat dari cara bicara msh spt dosen blm cermin pimpin yang alam
"Infrastruktur Fisik Seperti Bangunan Atau Prasarana Publik seperti Jalan raya dan bangunan lain lain secara fisik. Namun Infrastruktur Fisik yang bagus tidak akan berfungsi maksimal secara manfaatnya pada publik jika disitu tidak dibangun infrastruktur sosialnya. Untuk membangun infrastuktur sosial hal pertama yang paling penting adalah SDM orang² yang bertugas dan bekerja pada bagian² tersebut sesuai dengan bidangnya masing² untuk pelayanan prasarana Publik. Selain dari pada SDM tidak kalah pentingnya adalah membangun Moral ( karakter ) yang baik lebih kepada keihklasan dan rasa kemanusiaan yg tinggi dalam setiap lini pelayanan Publik.

Membangun dan memperbaiki infrastruktur fisik itu soal dana dan kebijakan saja. Hal ini mudah....

Yang Sulit itu adalah membangun dan memperbaiki infrastruktur sosial karena hubungannya dengan SDM person dan Moral / karakter Person dari setiap lini infrastruktur fisik.

Terima kasih",seperti raya dan bangun lain lain cara fisik yang bagus tidak akan fungsi maksimal cara manfaat pada publik jika situ tidak bangun infrastruktur sosial bangun infrastuktur sosial hal pertama yang paling penting adalah sdm orang yang tugas dan kerja pada bagi sebut sesuai dengan bidang masing untuk layan prasarana dari pada sdm tidak kalah penting adalah bangun karakter yang baik lebih kepada keihklasan dan rasa manusia tinggi dalam tiap lini layan dan baik infrastruktur fisik itu soal dana dan bijak saja ini mudah itu adalah bangun dan baik infrastruktur sosial karena hubung dengan sdm person dan karakter dari tiap lini infrastruktur fisik kasih
prabowo gibran no debat !!,prabowo gibran debat
"Indonesia krisis penegakan HUKUM,korupsi lah yang memiskinkan Rakyat,,,Betul sekali pak Mahfud,,,❤",krisis tega hukumkorupsi lah yang miskin sekali pak
"Hasil debat y, Cak Imin skelas SMP,  Raka skelas mahasiswa, Mahfud MD sekelas profesor",debat skelas smp skelas mahasiswa kelas profesor
"Statmen Terakhir Paslon No 1 & 3 Hnya Baca Teks yg sdah mereka siapkan,
Kerennn Paslon No 2. 

Pilihan'ku Nnti di TPS di Tentukan",sdah mereka siap tps
"Performance Isi nya daging???  daging buat bisnis mereka2 sendiri? 😅 😂 generasi emas nya susah payah, lantakan emas di kantong mereka2 para pengusaha yg turun jd kepala daerah atau pejabat negara 😅",nya daging daging buat bisnis mereka sendiri generasi emas nya susah payah lantak emas kantong mereka para usaha turun kepala daerah atau jabat negara
kereeeen bangettt gibran jawaban di pake solusinya,kereeeen bangettt gibran jawab pake solusi
Keren banget gibran di luar nurul 😮🥰🥳,banget gibran luar nurul
Acara berita nasional tentang pemilu dan katanyabdemi indonesia tp kata pembukaan pembawa acaranya salam khusus. Kita sebagai minoritas gak di anggap. Wkwkwkkwk,berita nasional tentang milu dan katanyabdemi indonesia kata buka bawa acara salam khusus bagai minoritas gak anggap
Rakyat di anggap BINATANG..? mau digemukkan trs di sembelih rame2 kah? 😊,anggap binatang mau gemuk trs sembelih rame kah
Cieeee....Pak mahfud detail dan terencana.......😆😅😆😅,mahfud detail dan rencana
"Lengkap sudah.. Mas Gibran pemberi ide dan Pak Prabowo pengambil keputusan..
No 2 gaskeeennn",sudah beri ide dan ambil putus gaskeeennn
bongko cangkemu di badok Siva...,bongko cangkemu badok
Orang cerdas pilih 2 kecuali orng yang dungu,cerdas pilih kecuali orng yang dungu
"Harus y Mahfud MD capres, Raka cawapres, pasti ku pilih mereka berdua",capres cawapres pasti pilih mereka dua
"Saya suka sama Pak Ganjar dan Pak Mahfud MD, tapi gak suka sama Partainya (IBU MEGAWATI DAN ANTEK2NYA), saya suka sama Pak Anis tapi gak suka sama cak imin, saya suka sama Pak Prabowo tapi tidak suka sama Pak Gibran, tapi setelah debat ini saya jadi suka sama Pak Gibran, lo keren bos... Saya kira Dongo, ternyata cerdassss. Menurut saya Debat malam ini yang paling apik dan Bagus adalah Gibran",suka sama dan tapi gak suka sama ibu megawati dan antek saya suka sama tapi gak suka sama cak imin saya suka sama tapi tidak suka sama tapi telah debat ini saya jadi suka sama keren bos kira nyata cerdassss saya malam ini yang paling apik dan adalah
Namanya juga politik,juga politik
Kemampuan Raka bikin Rocky Gerung minder atas sindiran y ke raka,bikin minder atas sindir raka
"Perbaduan yg keren, prabowa dengan jiwa nasionalisme yang tak perlu di ragukan lagi, gibran dengan fikiran2 moderennya untuk generasi emas selanjutnya, go no 2",keren prabowa dengan jiwa nasionalisme yang tak perlu ragu lagi gibran dengan fikiran moderennya untuk generasi emas lanjut
"Sebagai budaya orang Indonesia, awalnya saya pikir kasihlah 1x aja kesempatan pada pak Prabowo sebagai putra bangsa yang terus berjuang untuk Negara  Indonesia ini, namun pendampingnya (mas Gibran) dengan visi dan misi pada debat capresnya seperti magnet yang sangat tajam menarik perhatian publik!!!!!!",budaya orang awal saya pikir kasih aja sempat pada pak bagai putra bangsa yang terus juang untuk ini namun damping mas dengan visi dan misi pada debat capresnya seperti magnet yang sangat tajam tarik perhati publik
slepet,slepet
Cak Imin mati kutu,mati kutu
Jir jadi viral,jadi viral
"Nyelepat nyelepet mulu, moderator juga repetitif dan lebih buruk dari debat Capres. Haduh.",nyelepet mulu moderator juga repetitif dan lebih buruk dari debat
Mas Gibran di luar nurul smua.. kerenn 🎉🎉🎉ga salah pak Prabowo cari wakil.,luar nurul smua kerenn salah pak cari wakil
jujur dan fer penampilan Gibran  bagus 👍,jujur dan fer tampil bagus
Cak imin abis dibabat gibran😂😂,imin abis babat gibran
Terlihat jelas calon wakil anis ikut  berbohong,jelas calon wakil anis ikut bohong
Ngomong si ngampang kerja kan itu susah,ngampang kerja kan itu susah
"Muaimin dan mahfud ingin menjebak gibran,tapi gibran tetap fokus😅",dan mahfud ingin jebak gibrantapi gibran tetap fokus
Jangan panggil saya anak kecil paman. Gass terus paslon 2 🚀,panggil saya anak kecil paman terus paslon
"kayaknya mimpi saya 2 malam berturut turut kayaknya bener dah,saya bermimpi pak prabowo sama mas gibran jadi pemimpin indonesia dan di mimpi saya saya berhadapn dengan bilau dan di mimpi saya mas gibran yang banyak ngomong dari pada pak prabowo,awalnya pas mimpi pertama aku abaikan sebab saya tidak begitu mengikuti politik tapi semenjak 2 hari di mimpikan yang sama saya pantau mas gibran dan saya jadi paham,mungkin warga warga indonesia yg tidak suka sama mas gibran dengan pembawaan cara bicara dan karna usia bagi saya orang orang seperti itu iri sama sirik aja sih atau mungkin oknum oknum yg mau menjelekan mas gibran",kayak mimpi saya malam turut turut kayak bener dahsaya mimpi pak prabowo sama mas gibran jadi pimpin indonesia dan mimpi saya saya berhadapn dengan bilau dan mimpi saya mas gibran yang banyak ngomong dari pada pak prabowoawalnya pas mimpi pertama aku abai sebab saya tidak begitu ikut politik tapi semenjak hari mimpi yang sama saya pantau mas gibran dan saya jadi pahammungkin warga warga indonesia tidak suka sama mas gibran dengan bawa cara bicara dan karna usia bagi saya orang orang seperti itu iri sama sirik aja sih atau mungkin oknum oknum mau jelek mas gibran
INGAT YANG PENTING CAPRES NYA BUKAN WAPRES NYA ...TETAP ANIS INGSYA ALLAH MENANG ...,ingat yang penting capres nya bukan wapres nya tetap anis ingsya allah menang
tidak peda jahu dari pohon nya,tidak peda jahu dari pohon nya
Klo sy Gibran aja.,aja
Prabowo Gibran sukses,sukses
ALL IN PRABOWO & GIBRAN,all prabowo gibran
"Kalau mau NETRAL DAN REALISTIS , Setelah nonton secara detail jawaban MAHFUD lebih rasional dg pengalaman beliau",mau netral dan realistis nonton cara detail jawab mahfud lebih rasional alam beliau
"Debat menyapaikan visi misi tuh ya kya mas gibran,  di luar nalar kecerdasan nya, tidak terduga",sapai visi misi tuh kya mas gibran luar nalar cerdas nya tidak duga
Prabowo Gibran🥰 Sulawesi Utara hadir😍,hadir
komentar dipenuhi dengan dukungan nomer urut 2 PRABOWO GIBRAN🔥,komentar penuh dengan dukung nomer urut prabowo gibran
Bpk muhaimin lihat2 apa tu kbawa...🤔🤔,muhaimin lihat apa kbawa
Saya dan keluarga makin yakin kuat dan KONSISTEN PASTINYA SAMA NO.02 MATA SAYA TERBUKA,dan keluarga makin yakin kuat dan konsisten pasti sama mata saya buka
