cleaned_comment,cluster
klo turut saya debat cawapres kali memang saya aku gibran lbih baik lain dan cukup kuasa materi dan juga bentuk tanya jawab sesuai tanya beda dengan debat capres nya krn paslon nomer untuk capresnya bisa bilang rangking daripada capres lain maka dari itu milu seperti akan milu seru krn tiap pasang punya lebih dan kurang,7
tapi sumatra banyak tanah masyarakat kecil kena jalur hijau itu gimana yang mau milu iniehem atur dari pusat atau kah pemerinta setempatorang bisa jadi golput semuasekarang ini pertamina yang kuasa semua tapi rakyat kecil tayang benar aja,7
ada dua bisa dan layak untuk jadi pimpin yaitu antara bapak atau bapak karena mereka dua sudah bukti dlm emban tugas ingin lihat hancur nkri maka anis lah pilih sbg pimpin,7
calon,7
cakep gibrannya mahmud tanya kena polusi aja bsa jawab mlh buat naskah tulul,7
kmi tepat adalah jatuh pada gifran calon undy pilpres yaitu dgn semangat jiwa bersih berani dan mampu utk juang bagi bangsa dan negara anak muda peluang emas,2
ganjar mahfud program unggul klo kalian pilih untuk pimpin indonesia ini kalo program unggul tidak teerselesaikan maka akhirat nanti rakyat tagih program itu,7
boleh saya rankingkan hasil debat ini maka juara imin,7
hebat,7
terhura awal nya takut tinggal pak nyata dia ikan hadiah anak sulung irit bicara cerdas akal budi presiden terimakasih krn telah didik generasi kamu sembah untuk moga meridhoi jaga negeri kita cinta,7
saya dukung nomer,4
dulu ibu jawab mas gibrannya nyambung apa ndak sgie itu bhsa inggris harus pakai eja bhs inggris juga dan harus jelas tdk pakai singkat mbok bukan acara cerdas cermat,7
sesi sampai visi misi dan program tangkap saya paling lengkap dan tuntas sesuai alokasi waktu hanya fokus berantas korupsi banyak slepetnya jadi untuk urai visi misi program jadi nggak tuntas sampai waktu habis,7
yakin sama amin,7
anak muda yang ahli asam folat,2
gibran kerennn,7
gibran keren bangettt,7
priode,7
amin bapa mahfudzbapa memang profesor luar biasa,7
moga pilih pimpin amanah,7
nya bocah angon,7
priode,7
yes,7
aku gak dukung imin aku bantu jawab dari tanya samsul itu dulu sul tapi nyata bapak bohong apalagi aku ngebet jadi ban serep anisjadi gitu deh,7
sebab tidak sampai salah sattunya korupsi,7
serasa denger pak jokowi ngomong mirip bngt suara gibran dngn pak jokowi,0
aku bisa nangkap kata paslon cawapres kalau pajak naik lagibisa bahaya nih rakyat bbm saja sekarang jam sby bensin masih apa mau harap,7
imin ngomong jls,7
indonesia emas mulia pak lurah,7
lgi puisi,7
saya tidak tuju kalau pajak naik,7
banyak janji pak rakyat makin susa pupuk dan bbm naik semuasawit murah rakyat hrs igt janji dulu rasa rakyat makin susa,7
turut saya visi misi dan program berantas korupsi paling tepat untuk wujud adil sosial,7
lho lho gak bahaya tuju paslon bikin program kuliah gratis untuk anak prajurit dan bayangkara,7
sosok yang layak untuk pimpin negeri,7
gibran gabung ykin indonesia maju tuju like,7
kota gak,7
kagum dgn gibran luar biasaaa,7
luar nurul kota tara jakarta kota besar seperti solo khusus dijawa ini umrnya beda bangun kota level jakartaharus utama sdm dan umrnya minimal tara,7
pilih,7
the best,10
dan keluarga besar dukung pragib insyaallah menang,5
janji luu mahfud,7
sip usah panjang sedikit padat,7
mahpud,7
supporter anis parahh,7
imin ngomong aja blepot,7
dua belas bapak banyak bual nya saja cuma pintar menghayal tapi belum tentu realisasi dengan bapak sama penghayal tingkat tinggi,7
panca sila aku dukung patriot proklamasi sedia korban untuk negara rakyat adil makmur sentosa pribadi bangsa ayo maju maju maju,7
kosong kalau korupsi dapat brantas,7
pilih pra dan gib,7
bocil keren,7
akhir bnyak omong banyak janjiyakin tahun bisa begitu juga banyak masalah entar udah males denger janji palsu,7
jawab mudah aku pahamii,7
selamat tunai tugas bagi menang lomba cawapres tugas wajib panggil pertiwi serah dalam tangan tuhan yang kuasa awal dari segala sesuatu dari yang tidak ada jadi ada tuhan kati tuhan serta kita semua,7
anak muda ini tarik untuk pimpin good luck,2
siapa ini,7
nya harus nya harus nya begitu lah klo ora cuma bisa omong tpi ndak tau lapang,7
cak imin bilang slepet mulu jadi ngakak,11
mantap,7
slepet satu selesai,11
banyak janji wkwk,7
gama pasting menang,5
budi dan moga jadi pimpin negara yan amanah,7
pak mahfud apa ada mas cerdas satu gak jelas kayak nonton stand komedi,7
lebih masuk akal lebih jelas visi dan misi dari mas gibran yoogk salah ttep dukung,7
bantu pilih biar pun hanya suara saya saya ikhlas pilih ganjar lubuk hati saya,0
bisa lihat debat ini jadi faham ini mas bangsa ini yaitu timpang dalam hukum kalau lihat lama ini belum ada yang berani lawan tentang hukum cual anis dengan agal reklamisi dan hukum yang lain mari kita dukung agar idonesia lebih baik dan makmur,7
apas slepet,11
anak muda cerdas hebat,2
yes,7
imin cak imin,7
dari anggar ikn jumlah jdi skitar kata imin bisa memmbangun jln sekalimantanmembangun kota tara kata imin tolak ikn walah harus slepet minnnvisi misi boleh berekspetasi tinggi tpi logis lach miinnimiinntnpa sadar justru logis mlah mnjadi bomerang dan nilai kualitas minimiinnmlah mpermalukan diri sndri min imin,7
rasa semua bisa nilai siapa paling kompeten dari debat ini,7
rasio pajak dan naik pajak itu beda masa ngeh sih,7
bukan debat mirip karnapal atau festipal budaya,7
ynk ucap salam semua agama,7
gibran,8
mas nomer yessss,4
untuk bapak semua sleepettt sleepeettt sleepppeeetttttt apa cukup makan siang gratis jadi majuuu,7
gibran,8
dihatiii,7
nnnnnnnnnnf,7
warrrrrbiasaaaa jozzzzz pokok,7
paling nyelepet tiap tanggap tiap debat pasti selalu ada nyelepet,7
keren,7
pak dari dulu sampai skrg,7
insya allah amin,7
gibran kerennnnn,7
ini dari awal debat kalo kasih solusi atau dapat selalu bilang semua itu sudah ada data kami rancang kami catat kami pikir kami otak kami buku kami kami kami kami dan kami cara beliau tutup kurang dapat nya,7
terus kan rencana bapak ikn siap pilih kamu dng prabowo gibran pilih anies baswedan ikn bisa macet sulut komitmen untuk prabowo gibran,7
uang untuk biaya bukubuku pustaka sekolah mending sekarang buku hanya untuk guru saja guru jadi buku para murid dana untuk mes banyak buku itu lebih baik untuk mes alat elektronik seperti sedia pada tiap kelas laptop atau cpu,7
udah waktu cari pimpin yang kerja semua pak prabowo udah sering kalah udah waktu kali ini dia menang dan mas gibran akan jadi wakil yang tepat karena milik tegas dalam ambil putus nomer urut wajib menang,5
akan mjd raja energy dunia,7
ada suara sudah itu mana detik berapa saya klarifikasi,0
banget,7
hajar,7
kami semua untuk pragib,7
seru dan jawab tdk tajam lagi tanya dan jawab sesi ikut,7
tuju dgn pak tapi sayang jadi wakil nya pdi jadi maaf saya coblos,7
knp cerdas bgt yak,7
tetap hati,7
pun cerita nya kita rakyat pilih pimpin pihak kpd rakyat cara seluruh pak,7
cerdas cermat,7
nya pinjol,7
kur salah sasar pak,7
beta kepada kami mana kemenkopolhukam waktu rohingya masuk terlalu jauh pak,7
hilir narasi cepat semua foto copy mas,7
bio bio bio gak ada lagi,7
angka miskin inflasi,7
kita tahu negara ini hanya kenal satu agama saja,7
gaknpek kostum ultraman biar liat ganas,7
amin baik,7
komen isi ngomongin paslon emang keren itu,7
aku bisa raba siapa yang sudah siap punya visi misi saya juga bisa raba belum siap punya visi misi karena bicara lebar kemanamana tapi belum tahu apa yang akan laku ada uang bangun sana bangun sini tapi ketika habis sudah henti sudah siap akan laku ini itu aku belum bisa raba karena asa belum siap dalam misi,7
kalau yang gratis gratis jangan mudah percaya,7
semua fokus paslon fokus moderator nya asik kaku bet kaaya debat pertama dihhh,7
pilih nolak anis dukung,7
mas gibran,8
percaya dengan ideide yang tidak masuk akal karena itu janjijanji selalu php waktu rakyat cerdas pilih visi misi yang masuk akal bukan politik,7
anak muda akan dominasi politik jaman dulu orang tua semua ketika aku kecill ada ingin rasa kita lebih bisa tapi tak bisa buat apaapa ini waktu kalian wahai anak muda cepat tumbuh ekonomi harus genjot jamin emas depan mata,2
ribet amat pake ganti baju segala,7
apa copet,7
dua sih gak masalah mau prabowo atau anis menang asal jangan ganjar aja gak suka sama partai ngusung nya,5
best,10
dah slepat slepet mulu,11
min,7
warga jateng serius masih bingung plih gibrann apa ganjar,7
kalau mau,7
nggak tuju ikn karna nggak jauh dari kelompok tambur,7
saat kita punya pimpin seperti pak dan mas bangun tuju negara maju,7
dan,7
gibran,8
gasss prabowo gibran,8
dengn ijin ridhonyajdikn mnjdi persisent,7
lain hati lagi gibran yess,7
mau gugu cerdas gibran lanjut,7
muhaimin banyak kata awal akhir nya kena slepet sendiri,11
waktu muda maju,2
job good boy gibran saya rakka juga nih bobran,7
yang tadi ngedukung ikn jadi ngedukung ikn kaciw min min muhaimin wkwkw kocak,7
saya golput,7
aja lah dgn,7
all prabowo gibran,8
saya msih bingung,7
tutup dari pak mahfud banyak sekaleee yakin ituu bakal beres taon,7
saat butuh pimpin yang fresh dan update,7
samsul biso opo cih politik ente blm uji tuh debat mahasiswa bru uji mic jgn tiga mas lbh baik lbh banyak,7
tanya pak anak masih sekolah apa kita isi sekolah,7
priode,7
mahput matap,7
imin,7
goreng iwak endok sgie,7
teebaik ngomong doang tapi solusi dan cara selesai ada lain hanya bicara kulit dan janji bnyak hoax dukung gibran sekarang,7
pak mas moga maju terus asyik deh kmilah dukung ilovelovelove you,7
dijelaskam mas gibran memang ada indonesia saat ini nya semua harus laku alau tidak gak tau dah indonesia kelak beliau menang tua hanya andal ilmu dulu lihat jelas gak ada paham ada infonesia saat ini,7
kakek minggir biar muda maju,2
dulu pernah tarik untuk nyimak tapi debat kali ini sangat tarik yang akan pilih hati dan tanggung jawab dan harap baik untuk,7
ramal ssya imin akan jadi,7
sempat ragu dengan gibran lihat debat inisemoga debat ini bawa generasi emas muda lebih manuver bisa,7
pun calon nya berani usir roh skrg coblos tpi jika salah satu tidak ada berani usir rohingya males nyoblos bgus tidur nonton youtube,7
tanya orang tua kamu apa janji rakyat jalan tdk nyata hukum langgar koreksi dulu pak lurah baru bcr,7
mas gibran,8
ajar anak muda kredit pak ajar mereka berwirausaha agar bisa diri dengan kaki sendiri mandiri,2
mending timbang antara dan kliatan banyak omng doangslepet,7
nggeh skip ini dapat saya galao,7
selalu pilih rakyat,7
the best sungguh sangat bijak tanggap segala tanya,10
bapak kpu wibawa santun,7
amin muantap,7
itu bukan ide bagus buat rakyattapi kalau lapang kerja banyak itu lebih baik dan didik yakyat indonesia,7
all prabowo gibran,8
imin mlepok milyaran duit ndi,7
boleh kalah tapi pasti menang,5
pakai kopyah hanya kedok agamaorg seperti ini msh pikir duniawi dan perut sendiricoba liat berita sekarang sudah tangkap kpk kasus mati rupsi,7
tetep pilih sasuke sama boruto,7
maju untuk anak muda dukung,2
mana suara dukung anis sepi,0
gibran yessss,7
gby,7
smoga prabowo gibran menang,5
nampak bnget komitmen orang gimana mau nepatin janji,7
prabowo pak gibran,8
lihat njago anieswakilnya kok masuk cara ngomongnyabanyak halu nya,7
dan cuma mereka yang perhati anak muda ingat apa yang kata oleh pak depan bangsa ini ada tangan anak muda ingat itu,2
dulu pernah ngikutin debat cawapres tahun ini tarik karena mas gibran bgt wakil anak muda,2
lama ini pdi ngapain aja bohong korupsi trusss,7
dan baca tanya hendak jangan tutup amplop lain baik angkat agak atas spy jangan ada salah duga,7
hajar habishabisan njir,7
mahfud sudah berani korupsi brantas habis sampai dapat harga dari pbb mahfud yang tulus sudah laksana mahfud siapa bilang indonesia negara kecil gibran jokowidodo banyak pengganguran,7
tetap nmr,7
kren,7
sek slepet iku apa seh,11
orang gak punya jangan ngomomng bandos dll ssya belum prrnah ada bansos dsncuk,7
untuk kejar belakang dalam laksana dan tangan bagai bidangselama ini ada juga hasil maju sejahtera bangsa negara namun hanya sedikit sajadalam kurun waktu tahun telah merdeka,7
makyos ampun cak min kurang jelas apalagi gibran mahfud kren habis printer hebat mana jokowidodo rakyat jabar tak punya sertifikat gibran sok pinter buat soal ngak jelasiitu gibran nyonyek panjang juga catat ahihomdo duga tapi rakyat mau tanya jokowidodo gaimana usman korban pecat tidak hormat malu maluin negara indonesia bangga pasti menang rakyat percoyo toh,7
saya lebih suka debat cawapres ini daripada debat capres kemaren karena banyak hal lebih spesifik bahas moga depan lebih baik lagi bravo kpu,7
sama cerdas mas anak muda bukan kaleng kaleng,2
mahfud hati hati bicara fan asli bapak gibran ngomong doang jokowidodo kirim bahan mentah terus ahah seperti jokowidodo betul pak mahfud cerdas tenan,7
mahfud hati hati bicara fan asli bapak gibran ngomong doang jokowidodo kirim bahan mentah terus ahah seperti jokowidodo betul pak mahfud cerdas tenan,7
apa kata lain sini pada diri urut yeeiiii,7
harus menang thn ini amin,5
salah bung itu semua kata gibransudah ting belum,7
jujur dalam tangan hukum sah juga ruu tentang ampas seluruh aset para koruptornarkobajudisara dll dapat atas mereka yang laku kriminal sebut,7
siyap buwat gedung kpk polres kota tasikmalaya dari sekarang siap nethd,7
gibran pancen cerdass,7
neng banget sama bapakbapak juang negri ini sehat selalu bagi tiap orang yang juang merdeka dan sejahtera bangsa ini banget walaupun baru ucap moga dapat realisasi ketika nanti pilih,7
saya debat ini paling logis erti kondisi lapang itu prof syg sekali dari partai banteng,7
slepet dan slepet,11
prbowo gibran menang,12
gara prabowo subiyanto rusak satu luwarga ter kena tetes nila prabowo subiyanto ter tetes luwarga jokowi dodo rusak satu belangak bau tidak sedap,7
dpt contek apa gmna kok sat set plonga plongo seperti biasa liat media sosial,7
imin lanjut jadi komika aja banget,7
tega hukum tanpa tebang pilihkeadilankemakmuran bangsa negara dan sejahtera rakyat,7
moga tuhan sama bapak amin,7
moga tuhan sama bapak amin,7
dan pilih baik,7
dan pilih baik,7
muda karya untuk jaya bangsa,2
ingih,7
mangbowle seseplet ituchhhhh,7
tiap jawab dari anak pak jokowi alias mas gibran bobot tanpa tele mudah paham,7
makfut,7
mas kodari hrs beri ajar biar rencana busuk gagal,7
saja mas gibran bisa pilih sama bpk prabowo yesss,8
masihpenakutbonkarkoropsipengencutlawankoropsisrimulyanijokowitakutbelumpantas,7
saya dukung paslon dan paslon nyata telah lihat paslon nyata mas gibran punya wawas luar biasa cerdas lugas dan tegas pak prabowo tidak salah pilih saya yakin paslon pasti menang karena saya lihat tiap media sosial semua dukung arah pada prabowogibran,7
jangamenghayaljibran,7
waswedapantasjadipresidenthnkedepan,7
belumpantasmakfutmasihbelumpantasjadipemimpin,7
ngapusi kota itu koya ngurusi kota nama jakarta aja gak beres,7
berdamage sini,7
ngrungokke ngaji ben entuk elmu saking,7
mahal pak murah harga diri,7
salak ning biru ajo cedak mundak kepilut aku,7
prabowo,8
terus pak prabowo dan pak gibran bismillah menang,5
niat tanya tingkat posisi sgie niat jebak tingkat posisi sgie atau the,7
klantur,7
muda,2
prabowo,8
nyata moderator anda nol ada cuma suara tenang tenanggggg nol knowledge,7
imin agak agak,7
bisa jawab seluruh tanya dng baik dan bijak utk seluruh cawapres moga siapa pilih amanah,7
gibran,8
kpu tolika tahun dan,7
wapres luar ekspektasi diam ter raja pimpin sngat wow,7
yang menang moga dapat tanggung jawab dengan baik dan mampu bawa jadi lebih baik,5
miin,7
dua,7
sosok orang gibran org bodoh cupu tapi asli pintar daripada ngaku org pintar tapi asli bodo saja tapi luar biasa,7
mantaap amiiin,7
ikn jokowi bocara tak ada infestasi dari mana sekarang gibran bicara ada osfistasi dari suasta dan lain ini penbodohan dan tipu dasar pintar ber bohong saya memang terus tak mau pilih bohong belum jadi sudah bohong apalagi sudah berkuasaa,7
manttap amiiin,7
lanjut urut nomer,4
gilir sini gibran lncar jawap per tanya gilir tanya mahasiswa plonga plongo yakin pilih gibran pilih ubah aja dari pada lebih baik pilih lebih profisional untuk meminpin negra besar ini amiiin amiiin,7
visi misi kok malh bicara korupsi pak,7
gibran gas pool satu putar,3
pak dukung pak dan pak,7
gibran yeeees,7
udahlah wes,7
kita sama gibran,8
uuuu,7
yes yes,7
lihat ini ragu sya sudah pupus teteg ning ati sopo sek arep tak coblos,7
ini penuh orang orang hebatt butuh gibran,7
wkwkwkwk slepet,11
slepet kok agak gimana gitu dengernya enggak enak didenger pak,7
gibran bebicara sesuai fakta dan dapat bukti olejh data dan janji semua ukur dan masuk akal beda sama paslon hanya bebicara soal wacana dan belum tentu teral dan banyak tidak masuk akal,7
jelas mahmud sangat malu tidak tahu apa itu naik pajak dan naik rasio pajak,7
mvp,7
gua pilih prabowo beliau udah beberapa kali nyapres bahkan era pasang prabowo megawati hingga skrg sampe akhir pasang muda mas gibran saya suka mas gibran karna saya percaya anak muda nanti depan akan belakang baik didik prestasi lowong kerja yang muda pasti paham apa butuh anak muda tahun depan kan negara ini lambat laun gantung pada anak muda,2
suaraa gibran sma pres sma bpknya,7
anies baswedan adalah jelas persiden indonesia pentelamat bangsa indonesia raya,7
cak imin suruh nyampaikan visi misi malah bilang apa,7
debat kalo ujung ujung hasil pilpres hitung curang percuma debat debat pilpres,7
kalau ada yang bilang debat cawapres ini pasti menang telak yang jadi pimpin moga jadi lebih baik lagi,5
makin liat pinter nya cawapres liat bodoh nya,7
calon,7
tutup debat mas tiba buat saya haru yakin bahwa pimpin lanjut layak lanjut pak dan mas,7
cawapres lebih seru dari debat capres,7
menang menang anis danpak amin tetap menang dua ribu dua empat nanti jadi pres den nanti percaya tidak percaya rakyat tetap sokong prangpintar dan orang penuh sabar bdan tabah sllau menghadappi banyak caba banyak cabar trima dngan senanghati salam merdekah tetap menang tetap,5
bukan buzzer tapi lihat debat mas gibran top bgt,7
ide ada orang belakang nya koporat dan kapatalis dan bapak nya buat atur tidak punya ada apa apa alam capres semua orang sudah tahu mahu antara atau menang bukan rana dia lebih cerdas dan berbibawa dari dan,7
dukung presinden mau bubar pinjol dan judi onlanekarena malas rakyat meyengsarakan rakyat bener deh coba pikir semenjak ada judi onlane banyak orang malas kerja harap uang cara instan dan pinjol juga dana darurat tapi sesat,7
all ganjar,7
lihat kwalitas cak nista diridemi tinggi imigran turut silsilah nya,7
ada lagu nih buat pasang anis dan muahimin tinggal janji manis hanya mimpiiiiii,7
bukan untuk pilih yang baik tetapi untuk cegah yang buruk kuasa,7
cuma bisa omong doang klo janji kampanye tagih suka belaga amnesia,7
daya mampu cawapres jawab baik atw tdknya smw tdk akan ubah pilih rakyat sudah lebih dulu doktrin dgn cawa cawi dgn pansos medsos dgn identitas dan lain rasa sih debat bgini hnya buang wkt kurang optimal dlm beri didik politik masyarakt bawah pada inti alam pnting bukan hny dar dasar like dislike saja cuman bisa doa untuk jatuh tgn pimpin tepat bukan pimpin karbitan,7
kalo cara gitu bakal inflasi pak,7
gibran,8
meja depan bawa acara harus halang begitu,7
lupa bulan coblos nomer prabowogibran andal,4
makassar mati lampu bapa bapa,7
gibran keren luar expektasi sngat war biasa,7
pantas dan layak pilih oleh seluruh rakyat,7
dukung bapak perabowo gibran aja lah,7
saya aku anda sangat cerdas namun terkadang apa yang jadi tanya anda jawab tidak sesuai yang tanya regulasi anda jawab cara buat regulasi mana konteks sangat beda jadi evaluasi saya dukung selalu,7
bakal cook nyata malah dia yang meng cook,7
gibran,8
kok geli denger nya yah mahfud bilang laut ada korupsi tapi sus keluar padahal klo ada nyolong ikan langsung ancurin kapal ilegal terus darat ada korupsi udara ada korupsi nah mahfud kan menkopolhukam terus dia ngapain aja lagi ngejabat klo hukum yang dia bicarain bobrok sampe sampe sambo hukum mati bisa hukum umur kan lucu dia bilang hukum cacat sedang dia menteri politik hukum dan aman,7
cawapres siap banget dengan topic nya kuasa luar biasa mentor cawapres ngeri,7
pak gibran the best,10
perdesaa anjay otw korupsi nih pakades,7
sudah umur saya bangga punya anak muda seperti mas dukung jadi calon pimpin lanjut,2
hanya untuk anak jabat arti masih sengsara trakyat miskin tidak dapat nikmat kuliah gratis,7
khayal realita nyata impi,7
sgie ngak tau bahasa inggris tapi llihat dan dengar kan nati ada apa ada apa,7
jokowo jokowi semangaaatt dukung cawapres,7
muda lbih cerdas dan tegas dalam bicara,2
tidak berteletele jelas lugas dengan visi misi depan,7
gibran mantapp banyak kata paham,7
prabowo gibran,8
mlaikum sakat mau nya damaiindonesia mas maju capres thn akan datang butuh rugi salam sehat hera bagi bangsa dan negara indonesiasiap cobol prabowo,7
cak kumurkumur apa gmn sih,7
muda dengan semangat dan jiwa yang gebu untuk maju,2
jgn kalian bawa bawa nama dlm politik,7
bisa rubah indonesiayg lain now alias janji manis,7
omong kosong aja banyak bicara dan janji palsu,7
dapat tekan sekarang bebas,7
pdip dan amin yes,7
peduli siapa menangpemilusemoga lebih baik pimpin merekasemoga saja klo ada dukung calon kalah saat coblos pikir nya masih logis mulut juga logis tindak nya juga logisbisa terima nyata,7
mulai janji palsu muhaimin bangun kota level hahahaha aduhhhhhh,7
betul stlh kata rada suara kata sudah,0
anes dan amin president,7
lebih adem dan isi yah debatnnya cawapres daripada capresnya,7
panggil aku anak kecil,2
benar hebat tanggap gibran segenap tkw dan tkl siap dukung,7
pilih mas gibran sngat cerdas simpel emas bgtindonesia mju mnjdi emas berliam tang bowo gibran,7
apbd,7
dari segenap anak milu siap dukung prabowo dan gibran,2
itu gibran,8
ini kaya,7
lapang kerja coba cipta lapang kerja dan bikin smilter dan bikin izin usaha tambang timah ambil pajak kena bajit,7
gibran,8
rencana mau pilih siapa tpi liat mas gibran jos bgt jdi mau nyoblos jdi jangan hnya krna dri slah stu merka dri kota kalian jngan slah pilih kepksa plis hrus pintar ikut dri hati iklas,7
lain kurang pas masgibran pling unggul simpel pasti,7
kalau mau debat sana dengan hadap,7
nyata yang lama ini banyak yang kata mas ayam sayur belimbing sayur asam sulfate nyata bantah,7
cak imin mau bangun kota tara dalam tahun mimpiii cak terlalu jauh,7
mantap,7
saya harap dua putar saya tugas kpps jadi dapat duit menang siapa aja boleh gak pengaruh buat,3
bagus ptkobatin buka lagi,7
ikn bangun rakyat butuh jembatan untuk sekolah tidak gubris aku mau tanya ikn untuk apa dan untuk siapa uang,7
belitung kaya,7
dah tahu salam aja buat umat islam padahal indonesia negara agama jadi inti paslon the best moga pak dan mas bisa pimpin dan lanjut visi misi pak pak kata ada korupsi puluh miliar kok media sosial buka jngn gitu donk bapak salam hormat dari timur malu untuk paslon urut,7
maju kalau didik,7
cuma baca buku praktek nya tak sesuai expetasiii,7
allah kami mohon ilah kami pimpin sidik amanah tablo dan pathonah amin allah kabul mohon kami,7
lebih pilih jokowi prabowo,7
ada bisik,7
muhaimin slepet iskandar,11
bansos plus trik politik saat jakarta dan sekarang saing capres dan cawapres mai kembali padahal ujung terima bansos plus akan terima sama saja sama seperti kjp cuma gengsi aja nambahin kata plus doang tapi terima tetap sama saja ngobral jual nya hanya itu itu saja pajak turun bagi masyarakat tengah bansos plus biar olah olah pihak masyarakat kecil waktu jakarta saja tinggal gunting pita langsung klaim,7
sngat bijaksana klihatan cara bliau tanggap jwban gibran salm hormat pak,7
mau jadi cawapres karena paman belum bikin undang,7
kiri atas ada alat nyelip satelit,7
gibran loh recall recall,7
saat kita butuh pimpin yang fresh smart terupdate serta laksana jelas dan beri sempat kepada generasi muda atau generasi emas sesuai bakat untuk maju bangsa indonesia tanpa harus takut dan kendali oleh para senior lama ada jalan yang benar maju indonesiakuu,7
biasa debat nya,7
dabest mantap,7
yakin,7
terlalu banyak program janji akhir nya tidak sesuai kata aja tidak mudah bangunapalagi kota level gratis dapat gaji bbm subsidi gratis lagi yang gratiskanpertanyaannya apa sanggup,7
harus buka hbis itu karna masih hafal catat nya wkwkwkkwkwkwkw,6
prop,7
amin allah jadi amin jadi lantik jadi persiden amiiinnnn allahhumma amin,7
mas putar,3
cawapres ini lebih cerdas dan lebih sopan serta lebih kooperatif para capresnya jujurlyyg muda memang lebih berkompetenstronglebih kuasa materi dgn tingkat kongrit tepat tanyatepat jawab lebih jelastidak dar sprti dua saya suara untuk,7
amin mantap dan pas tuk jadi cawapres,7
gue baru nonton engeh program nya prabowo dan gibran kalo jadi astaga tega juga,7
mau debat nggak cawaprescapres urut gak guna cuman lengkap doang biar rame gak mungkin pilih kuat cuman urut pegang komentar gue kita bukti nnti,7
aminn,7
jwbnnya tdk tpat sasar slepet aja,7
kerja saja susah ekonomi serba mahal malah mikir ikn,7
baswedan memang paling okeysabar sesuai jabat tudak paksa,7
ikn adalah prodak khabinet sekelilingnyasilahkan bukti,7
kira cupu nyata suhu boleh seperti ini savage,7
kagum sama sampai gibran ganyangka bakal keren itu,7
menang,5
orang tuek goreng anak muda nii wkwkkw,2
kereeen,7
pas hati saya capres dan cawapres hati saya pak dan mas itu paling masuk akal turut saya,7
nya ragu sama gibran telah denger malah dia paling tegasdan tele tele dana paling masuk akalmantap,7
pilih deh,7
ada bahas sda baru kenapa hanya tambang terus nanti alam rusak klo bener kelolany kerja hanya dnikmati sama org dekat kerabat bukan dari skillny mumpuni pilih,7
saya lait sini hampir komen pak,7
mas gibran paling keren,8
jelas saya dukung penyampaianny gampang erti banding lain,7
aplaus sih malah unutk cawapresnya keren semua moga indonesia menajdi maju dgn pimpin naik dan amanh pada rakyat,7
amanah siapa itu,7
mas gibran masih terlalu muda krna interaksi terlhat agak rasa lebih pintar lain jiwa rendah hati masih kurang karena sombong risiko dengan lemah akhir dan gagal lbh setju dgn statement dsr pondasi awal untuk kita mulai lbh maju dan makmur rata harus dgn tegas dalm hukum tegak lurus dulu baru hal lain bsia jalan lurus dan hasil tidak meyimpamg,7
jawa mnang pak prabowo,7
mbh jare nyalon klh ngomg kok ngamuk,7
lagi yang mau dinaikin oleh bakal cawapres,7
mahfud ini suruh tanggap tapi sering malah ngasih tambah tanya buat cawapres lain gimana rakyat bisa tau gagas pijit bapak buat depan,7
nara sumber nya koar koar tapi tetap akan menang,7
penting kerja buat masarakat harga butuh jangkau ekonomi lancar standar upah harus sesuai butuh,7
milu ini mag lbh baik nya mana para calon uji liat debat nya cukup detail,7
sudah konsisten dan komitmen dengan pilih kami pilih kami,7
tetap jadi pilah,7
pintar pintar memang banyak tapi yang jarang orang tar,7
jaal haqqo,7
telah liat dalam debat inidia bukan itu nyatak mnyangka pak juga lahir generasi terus bangga buat kitasemoga pasang dan pimpin kami aku percaya pada kalian dua patriotisyg lagi mudacerdasdan realistis,7
hanya pasang nomor dan nomor yang ideal dan tunggu apakah omong mereka bisa pegang jika pilih kalo pasang nomor uda cukup jakarta rasa janji manis anis jangan sampai seluruh indonesia makan janji manis anis mau mimpin indonesia mimpin jakarta aja becus ngurusin banjir aja ada perubahaan malah tambah buruk terus sekarang mau ngurusin miskin dan korupsi ohhh tidak yang ada yang miskin tambah miskin dan yang korup tambah korup tangan anis,7
semua hanya teori dan janji blm tentu semua akan laksana thn masa jabatanya,7
dan cawapres yang akan rubah undang korupsi jadi hukum yang paling berat seperti tidak ada nih dan cawapres harus semangat rang korupsi karena ini musuh kita sama,7
yakin semua calon juga pasti bagus tapi selain dari yang sudah tanya apakah ada salah satu dalam beberapa visi misi bapakbapak pikir nasib dan sejahtera buruh,7
gas pol,7
singkat padat jelas mas gibran,7
awal imin sangat mustahil realisasi dari mana,7
gibran ini masih muda tapi kuasa detail dan rencana program kerja nya,2
program kerja pasti ttg sgla hal indonesia debat ini blm ada fokus dan khusus hanya jawab noraml umum,7
gibran pikir maju dgn ada nya korupsi bocor ban kempes hrs isi angin terus tambal apa ttp bocor ini sangat sulit,7
visi misi sih tarik klo cawpres gabung msg ada krg ada lbh tonjol sih fokus gibran dan mafud krna poitn itu ptg maju berekmbang sega sektor fokus iutama program mafud krna apbn sekian mmg bancak semua kalang,7
kaliyan saya hrus pilih berph yang pling bayak usul milih berph saya akn ikut kaliyan,7
bilang jawab tegas dan bagus pada gapaham apa gimanasih tiap dia jawab liat deh sama pak prof mahfud suka dibenerin lagi kalo aku liat debat inituh kaya pak prof mahfud lagi ngajarin orang ambisi tapi kurang isi,7
tki indonesia dukung bpk prabowo dan mas gibran,8
the best mas gibran,10
